timeDate,BTC,ETH,XRP,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,VEN,ETC,QTUM,ONT,OMG,ZEC,BCN,ICX,LSK,ZIL,AE,DCR,BTG,ZRX,BTM,SC,STEEM,XVG,BTS,MKR,RHOC,WAVES,BCD,DOGE,REP,GNT,WAN,STRAT,DGB,BTCP,PPT,WTC,SNT,AION,HSR,NAS,HT,IOST,DGD,GXS,KCS,LRC,BNT,SALT,MCO
2017-06-16,2518.56,370.23,0.262068,,35.7,0.037536,,0.410757,,2.77,166.25,48.11,0.192579,,,18.4,11.29,,,387.43,0.002343,,3.11,,2.87,32.57,,,,0.015742,2.08,0.003822,0.317811,,,5.16,,0.003163,28.76,0.544276,,8.09,0.029569,,,,,,,,,,91.34,,,,,,
2017-06-17,2655.88,379.41,0.268351,,47.65,0.039251,,0.419906,,3.76,178.13,50.46,0.204418,,,23.27,11.25,,,384.86,0.002648,,3.08,,3.05,31.83,,,,0.01655,2.04,0.003723,0.340724,,,5.18,,0.003322,31.09,0.616756,,7.76,0.028367,,,,,,,,,,90.83,,,,,,
2017-06-18,2548.29,371.46,0.2846,,46.04,0.038332,,0.405862,,5.26,193.53,49.6,0.198033,,,22.07,10.58,,,376.82,0.003107,,3.13,,3.73,41.95,,,,0.015913,2.0,0.003448,0.325842,,,4.99,,0.00323,30.02,0.579051,,7.42,0.027826,,,,,,,,,,87.98,,,,19.98,,
2017-06-19,2589.6,370.06,0.296068,,50.32,0.040252,,0.412183,,11.72,201.26,49.09,0.195966,,,22.95,10.59,,,391.89,0.002626,,3.16,,2.39,40.05,,,,0.019446,2.12,0.003124,0.325901,,,5.15,,0.003141,32.78,0.725816,,7.7,0.028017,,,,,,,,,,100.67,,,,23.73,,
2017-06-20,2721.79,359.0,0.324427,,47.22,0.039366,,0.418494,,8.0,187.91,48.08,0.199343,,,21.68,11.49,,,401.2,0.002634,,3.28,,2.25,35.71,,,,0.018842,2.04,0.003149,0.334546,,,5.07,,0.003218,30.13,0.648595,,7.03,0.027735,,,,,,,,,,100.02,,,,21.41,,
2017-06-21,2689.1,336.87,0.296366,,47.79,0.038124,,0.413547,,10.15,178.81,46.59,0.191312,,,20.7,11.83,,,378.22,0.002824,,3.12,,2.87,37.04,,,,0.018817,1.98,0.002924,0.319381,,,4.89,,0.003125,28.97,0.604908,,6.98,0.026982,,,,,,,,,,93.34,,,,20.01,,
2017-06-22,2705.41,336.37,0.297848,,47.71,0.038719,,0.417742,,6.94,177.06,47.28,0.182819,,,20.79,12.1,,,378.56,0.002536,,3.14,,2.1,43.12,,,,0.019345,2.01,0.003023,0.307943,,,4.92,,0.003104,30.11,0.591251,,7.12,0.026037,,,,,,,,,,97.76,,,,4.19,,
2017-06-23,2744.91,341.74,0.319978,,47.34,0.041397,,0.48091,,6.84,189.26,51.41,0.197522,,,21.34,16.99,,,385.84,0.002563,,3.36,,1.91,45.55,,,,0.018969,2.17,0.003928,0.330783,,,5.21,,0.003143,31.26,0.655915,,8.35,0.028608,,,,,,,,,,95.21,,,,4.04,,
2017-06-24,2608.72,323.7,0.31111,,44.49,0.03821,,0.51291,,6.3,182.62,48.03,0.18616,,,20.19,16.35,,,362.57,0.002807,,3.26,,1.86,43.29,,,,0.016932,2.06,0.003394,0.314287,,,4.86,,0.003135,29.42,0.62524,,7.69,0.02628,,,,,,,,,,92.21,,,,3.4,,
2017-06-25,2589.41,303.25,0.298423,,43.92,0.033373,,0.470941,,5.95,172.88,45.89,0.177182,,,21.42,14.92,,,330.04,0.002717,,3.04,,1.85,38.81,,,,0.016173,1.89,0.003301,0.299584,,,4.62,,0.002961,27.99,0.564485,,7.08,0.022619,,,,,,,,,,88.29,5.79,,,2.86,,
2017-06-26,2478.45,272.69,0.277288,,41.13,0.030218,,0.402438,,5.53,162.89,43.49,0.162366,,,19.58,12.61,,,304.65,0.002515,,2.8,,0.951946,35.26,,,,0.015333,1.8,0.003045,0.262872,,,3.83,,0.00275,25.16,0.473199,,6.36,0.020129,,,,,,,,,,84.47,4.94,,,2.48,,
2017-06-27,2552.45,293.09,0.276306,,40.54,0.029113,,0.392269,,6.83,176.02,43.57,0.163454,,,19.14,14.47,,,328.65,0.002371,,2.74,,1.54,36.26,,,,0.015304,1.78,0.002912,0.245319,,,4.29,,0.002623,25.6,0.549714,,6.68,0.020837,,,,,,,,,,86.73,5.04,,,3.05,,
2017-06-28,2574.79,327.93,0.280455,,42.85,0.031998,,0.379136,,8.38,184.13,47.32,0.170694,,,19.65,13.83,,,342.61,0.002261,,2.92,,0.459884,36.09,,,,0.016454,1.92,0.00304,0.277695,,,4.24,,0.002793,28.08,0.571109,,6.97,0.021528,,,,0.05615,,,,,,90.65,5.59,,,3.48,,
